iter	Passed	Remaining
0	137	137746
1	138	69189
2	139	46314
3	140	34919
4	141	28073
5	141	23502
6	142	20232
7	143	17784
8	144	15891
9	145	14372
10	146	13128
11	146	12088
12	147	11202
13	148	10445
14	149	9787
15	149	9211
16	150	8703
17	151	8257
18	152	7854
19	152	7492
20	153	7172
21	154	6875
22	155	6606
23	156	6355
24	157	6129
25	158	5922
26	158	5729
27	159	5552
28	160	5381
29	161	5222
30	162	5074
31	163	4933
32	164	4807
33	165	4690
34	165	4576
35	166	4468
36	167	4365
37	168	4263
38	169	4165
39	169	4075
40	170	3991
41	171	3909
42	172	3829
43	172	3754
44	173	3685
45	174	3619
46	175	3555
47	176	3491
48	176	3431
49	177	3375
50	178	3321
51	179	3268
52	180	3218
53	180	3169
54	181	3123
55	182	3077
56	183	3033
57	184	2991
58	184	2949
59	185	2908
60	186	2869
61	187	2832
62	187	2795
63	188	2761
64	189	2726
65	190	2693
66	191	2662
67	191	2627
68	193	2604
69	194	2580
70	195	2553
71	195	2524
72	196	2496
73	197	2470
74	198	2444
75	198	2419
76	199	2396
77	200	2371
78	201	2349
79	202	2327
80	203	2304
81	204	2283
82	204	2263
83	206	2247
84	206	2224
85	207	2203
86	207	2180
87	208	2162
88	209	2143
89	210	2125
90	211	2107
91	211	2090
92	212	2074
93	213	2056
94	214	2039
95	214	2022
96	215	2005
97	216	1991
98	217	1976
99	218	1962
100	218	1947
101	219	1930
102	220	1918
103	221	1904
104	221	1891
105	222	1878
106	223	1865
107	224	1853
108	225	1843
109	226	1831
110	227	1820
111	228	1809
112	229	1797
113	229	1787
114	230	1775
115	231	1762
116	231	1750
117	232	1739
118	233	1727
119	234	1717
120	234	1706
121	235	1695
122	235	1682
123	236	1671
124	237	1661
125	238	1651
126	238	1640
127	239	1629
128	239	1620
129	240	1610
130	241	1601
131	242	1591
132	242	1583
133	243	1574
134	244	1565
135	245	1557
136	245	1548
137	246	1539
138	247	1530
139	247	1523
140	248	1514
141	249	1505
142	249	1497
143	250	1489
144	251	1481
145	252	1474
146	252	1466
147	253	1458
148	254	1451
149	254	1443
150	255	1437
151	256	1430
152	257	1423
153	257	1416
154	258	1408
155	259	1402
156	259	1395
157	260	1388
158	261	1381
159	261	1375
160	262	1369
161	263	1362
162	264	1356
163	264	1350
164	265	1343
165	266	1337
166	266	1331
